Total Costs

Salt and Vinegar Crisps,80p ,2022-02-03 10:23:31
Sprite,180p ,2022-02-03 10:23:33
Prawn Cocktail Crisps,80p ,2022-02-03 10:23:35
Salt and Vinegar Crisps,80p ,2022-02-03 10:23:37
Sprite,180p ,2022-02-03 11:10:19
Cadburys Bar,210p ,2022-02-03 11:10:27
Starbursts,110p ,2022-02-03 17:13:49
Sprite,180p ,2022-02-03 17:14:04
Bottle of Water,100p ,2022-02-10 10:06:35
Bottle of Water,100p ,2022-02-10 10:06:38
Cadburys Bar,210p ,2022-02-10 10:07:02
Salt and Vinegar Crisps,80p ,2022-02-10 13:02:14
